UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA
RO,11,00015,Alta Floresta D'Oeste,"25,578"
RO,11,00379,Alto Alegre dos Parecis,"13,940"
RO,11,00403,Alto Paraíso,"20,210"
RO,11,00346,Alvorada D'Oeste,"17,063"
RO,11,00023,Ariquemes,"104,401"
RO,11,00452,Buritis,"37,838"
RO,11,00031,Cabixi,"6,355"
RO,11,00601,Cacaulândia,"6,367"
RO,11,00049,Cacoal,"87,226"
RO,11,00700,Campo Novo de Rondônia,"14,220"
RO,11,00809,Candeias do Jamari,"24,155"
RO,11,00908,Castanheiras,"3,617"
RO,11,00056,Cerejeiras,"17,986"
RO,11,00924,Chupinguaia,"10,129"
RO,11,00064,Colorado do Oeste,"18,817"
RO,11,00072,Corumbiara,"8,842"
RO,11,00080,Costa Marques,"16,651"
RO,11,00940,Cujubim,"20,974"
RO,11,00098,Espigão D'Oeste,"32,385"
RO,11,01005,Governador Jorge Teixeira,"10,127"
RO,11,00106,Guajará-Mirim,"46,632"
RO,11,01104,Itapuã do Oeste,"9,995"
RO,11,00114,Jaru,"55,738"
RO,11,00122,Ji-Paraná,"130,419"
RO,11,00130,Machadinho D'Oeste,"37,167"
RO,11,01203,Ministro Andreazza,"10,823"
RO,11,01302,Mirante da Serra,"12,360"
RO,11,01401,Monte Negro,"15,873"
RO,11,00148,Nova Brasilândia D'Oeste,"21,592"
RO,11,00338,Nova Mamoré,"27,600"
RO,11,01435,Nova União,"7,824"
RO,11,00502,Novo Horizonte do Oeste,"10,276"
RO,11,00155,Ouro Preto do Oeste,"39,924"
RO,11,01450,Parecis,"5,697"
RO,11,00189,Pimenta Bueno,"37,512"
RO,11,01468,Pimenteiras do Oeste,"2,424"
RO,11,00205,Porto Velho,"502,748"
RO,11,00254,Presidente Médici,"22,557"
RO,11,01476,Primavera de Rondônia,"3,501"
RO,11,00262,Rio Crespo,"3,750"
RO,11,00288,Rolim de Moura,"56,242"
RO,11,00296,Santa Luzia D'Oeste,"8,532"
RO,11,01484,São Felipe D'Oeste,"6,103"
RO,11,01492,São Francisco do Guaporé,"19,002"
RO,11,00320,São Miguel do Guaporé,"23,933"
RO,11,01500,Seringueiras,"12,581"
RO,11,01559,Teixeirópolis,"5,003"
RO,11,01609,Theobroma,"11,347"
RO,11,01708,Urupá,"13,293"
RO,11,01757,Vale do Anari,"10,843"
RO,11,01807,Vale do Paraíso,"8,231"
RO,11,00304,Vilhena,"91,801"
AC,12,00013,Acrelândia,"13,869"
AC,12,00054,Assis Brasil,"6,738"
AC,12,00104,Brasiléia,"23,849"
AC,12,00138,Bujari,"9,339"
AC,12,00179,Capixaba,"10,498"
AC,12,00203,Cruzeiro do Sul,"81,519"
AC,12,00252,Epitaciolândia,"16,731"
AC,12,00302,Feijó,"32,385"
AC,12,00328,Jordão,"7,509"
AC,12,00336,Mâncio Lima,"17,173"
AC,12,00344,Manoel Urbano,"8,641"
AC,12,00351,Marechal Thaumaturgo,"16,895"
AC,12,00385,Plácido de Castro,"18,159"
AC,12,00807,Porto Acre,"16,757"
AC,12,00393,Porto Walter,"10,759"
AC,12,00401,Rio Branco,"370,550"
AC,12,00427,Rodrigues Alves,"16,974"
AC,12,00435,Santa Rosa do Purus,"5,809"
AC,12,00500,Sena Madureira,"41,750"
AC,12,00450,Senador Guiomard,"21,182"
AC,12,00609,Tarauacá,"38,819"
AC,12,00708,Xapuri,"17,608"
AM,13,00029,Alvarães,"15,545"
AM,13,00060,Amaturá,"10,847"
AM,13,00086,Anamã,"12,320"
AM,13,00102,Anori,"19,292"
AM,13,00144,Apuí,"20,648"
AM,13,00201,Atalaia do Norte,"18,133"
AM,13,00300,Autazes,"37,033"
AM,13,00409,Barcelos,"27,433"
AM,13,00508,Barreirinha,"30,658"
AM,13,00607,Benjamin Constant,"39,484"
AM,13,00631,Beruri,"18,171"
AM,13,00680,Boa Vista do Ramos,"17,668"
AM,13,00706,Boca do Acre,"33,498"
AM,13,00805,Borba,"39,292"
AM,13,00839,Caapiranga,"12,420"
AM,13,00904,Canutama,"15,130"
AM,13,01001,Carauari,"27,880"
AM,13,01100,Careiro,"36,435"
AM,13,01159,Careiro da Várzea,"27,981"
AM,13,01209,Coari,"83,078"
AM,13,01308,Codajás,"26,777"
AM,13,01407,Eirunepé,"34,025"
AM,13,01506,Envira,"18,786"
AM,13,01605,Fonte Boa,"20,742"
AM,13,01654,Guajará,"15,826"
AM,13,01704,Humaitá,"51,302"
AM,13,01803,Ipixuna,"26,860"
AM,13,01852,Iranduba,"45,984"
AM,13,01902,Itacoatiara,"97,122"
AM,13,01951,Itamarati,"8,179"
AM,13,02009,Itapiranga,"8,953"
AM,13,02108,Japurá,"5,125"
AM,13,02207,Juruá,"13,198"
AM,13,02306,Jutaí,"16,585"
AM,13,02405,Lábrea,"43,263"
AM,13,02504,Manacapuru,"94,175"
AM,13,02553,Manaquiri,"28,413"
AM,13,02603,Manaus,"2,057,711"
AM,13,02702,Manicoré,"53,053"
AM,13,02801,Maraã,"18,423"
AM,13,02900,Maués,"59,983"
AM,13,03007,Nhamundá,"20,358"
AM,13,03106,Nova Olinda do Norte,"35,156"
AM,13,03205,Novo Airão,"17,671"
AM,13,03304,Novo Aripuanã,"24,315"
AM,13,03403,Parintins,"111,575"
AM,13,03502,Pauini,"19,378"
AM,13,03536,Presidente Figueiredo,"32,812"
AM,13,03569,Rio Preto da Eva,"30,530"
AM,13,03601,Santa Isabel do Rio Negro,"22,404"
AM,13,03700,Santo Antônio do Içá,"23,688"
AM,13,03809,São Gabriel da Cachoeira,"43,094"
AM,13,03908,São Paulo de Olivença,"36,536"
AM,13,03957,São Sebastião do Uatumã,"12,781"
AM,13,04005,Silves,"9,081"
AM,13,04062,Tabatinga,"61,028"
AM,13,04104,Tapauá,"18,152"
AM,13,04203,Tefé,"62,444"
AM,13,04237,Tonantins,"18,478"
AM,13,04260,Uarini,"13,121"
AM,13,04302,Urucará,"17,163"
AM,13,04401,Urucurituba,"21,140"
RR,14,00050,Alto Alegre,"16,176"
RR,14,00027,Amajari,"11,006"
RR,14,00100,Boa Vista,"320,714"
RR,14,00159,Bonfim,"11,739"
RR,14,00175,Cantá,"16,149"
RR,14,00209,Caracaraí,"20,261"
RR,14,00233,Caroebe,"9,165"
RR,14,00282,Iracema,"10,320"
RR,14,00308,Mucajaí,"16,380"
RR,14,00407,Normandia,"10,148"
RR,14,00456,Pacaraima,"11,908"
RR,14,00472,Rorainópolis,"27,288"
RR,14,00506,São João da Baliza,"7,516"
RR,14,00605,São Luiz,"7,407"
RR,14,00704,Uiramutã,"9,488"
PA,15,00107,Abaetetuba,"150,431"
PA,15,00131,Abel Figueiredo,"7,126"
PA,15,00206,Acará,"54,064"
PA,15,00305,Afuá,"37,398"
PA,15,00347,Água Azul do Norte,"26,305"
PA,15,00404,Alenquer,"54,662"
PA,15,00503,Almeirim,"33,372"
PA,15,00602,Altamira,"108,382"
PA,15,00701,Anajás,"27,540"
PA,15,00800,Ananindeua,"505,404"
PA,15,00859,Anapu,"25,414"
PA,15,00909,Augusto Corrêa,"43,700"
PA,15,00958,Aurora do Pará,"29,492"
PA,15,01006,Aveiro,"15,953"
PA,15,01105,Bagre,"28,292"
PA,15,01204,Baião,"43,757"
PA,15,01253,Bannach,"3,267"
PA,15,01303,Barcarena,"115,779"
PA,15,01402,Belém,"1,439,561"
PA,15,01451,Belterra,"17,036"
PA,15,01501,Benevides,"58,637"
PA,15,01576,Bom Jesus do Tocantins,"16,227"
PA,15,01600,Bonito,"15,282"
PA,15,01709,Bragança,"121,528"
PA,15,01725,Brasil Novo,"14,984"
PA,15,01758,Brejo Grande do Araguaia,"7,232"
PA,15,01782,Breu Branco,"61,222"
PA,15,01808,Breves,"98,231"
PA,15,01907,Bujaru,"27,689"
PA,15,02004,Cachoeira do Arari,"22,449"
PA,15,01956,Cachoeira do Piriá,"31,300"
PA,15,02103,Cametá,"130,868"
PA,15,02152,Canaã dos Carajás,"33,632"
PA,15,02202,Capanema,"66,353"
PA,15,02301,Capitão Poço,"52,693"
PA,15,02400,Castanhal,"189,784"
PA,15,02509,Chaves,"22,566"
PA,15,02608,Colares,"11,682"
PA,15,02707,Conceição do Araguaia,"46,395"
PA,15,02756,Concórdia do Pará,"31,352"
PA,15,02764,Cumaru do Norte,"12,423"
PA,15,02772,Curionópolis,"17,709"
PA,15,02806,Curralinho,"32,248"
PA,15,02855,Curuá,"13,562"
PA,15,02905,Curuçá,"37,800"
PA,15,02939,Dom Eliseu,"56,398"
PA,15,02954,Eldorado dos Carajás,"32,664"
PA,15,03002,Faro,"7,333"
PA,15,03044,Floresta do Araguaia,"19,261"
PA,15,03077,Garrafão do Norte,"25,326"
PA,15,03093,Goianésia do Pará,"37,975"
PA,15,03101,Gurupá,"31,623"
PA,15,03200,Igarapé-Açu,"37,333"
PA,15,03309,Igarapé-Miri,"60,343"
PA,15,03408,Inhangapi,"11,053"
PA,15,03457,Ipixuna do Pará,"58,558"
PA,15,03507,Irituia,"31,654"
PA,15,03606,Itaituba,"98,446"
PA,15,03705,Itupiranga,"51,775"
PA,15,03754,Jacareacanga,41.487(*)
PA,15,03804,Jacundá,"56,006"
PA,15,03903,Juruti,"53,989"
PA,15,04000,Limoeiro do Ajuru,"27,368"
PA,15,04059,Mãe do Rio,"28,959"
PA,15,04109,Magalhães Barata,"8,279"
PA,15,04208,Marabá,"262,085"
PA,15,04307,Maracanã,"28,656"
PA,15,04406,Marapanim,"27,368"
PA,15,04422,Marituba,"122,916"
PA,15,04455,Medicilândia,"29,887"
PA,15,04505,Melgaço,"26,397"
PA,15,04604,Mocajuba,"29,398"
PA,15,04703,Moju,"77,385"
PA,15,04752,Mojuí dos Campos,"15,446"
PA,15,04802,Monte Alegre,"56,312"
PA,15,04901,Muaná,"37,977"
PA,15,04950,Nova Esperança do Piriá,"20,663"
PA,15,04976,Nova Ipixuna,"15,836"
PA,15,05007,Nova Timboteua,"14,635"
PA,15,05031,Novo Progresso,"25,135"
PA,15,05064,Novo Repartimento,"70,835"
PA,15,05106,Óbidos,"50,459"
PA,15,05205,Oeiras do Pará,"30,880"
PA,15,05304,Oriximiná,"69,024"
PA,15,05403,Ourém,"17,114"
PA,15,05437,Ourilândia do Norte,"30,776"
PA,15,05486,Pacajá,"44,778"
PA,15,05494,Palestina do Pará,"7,424"
PA,15,05502,Paragominas,"107,010"
PA,15,05536,Parauapebas,"189,921"
PA,15,05551,Pau D'Arco,"5,535"
PA,15,05601,Peixe-Boi,"7,874"
